userID,movieID,rating
1,1172,2.370159998057196
1,1405,1.9240031808590623
1,2193,2.9380036097129962
1,2968,3.154215234977869
2,52,3.314889266804921
2,144,2.678859849995968
2,248,3.3180947056687176
2,314,3.371842249934841
2,319,3.570599258005288
2,370,3.574930608420849
2,371,2.829897922897714
2,372,2.7679736570017948
2,382,3.009105857762756
2,405,2.431719918449847
2,485,3.1379108637330297
2,537,2.9611052690457305
2,550,2.6409321443153377
2,616,3.8451784911860694
2,661,3.9445753063708175
2,720,4.4364403838957855
3,377,3.0068885819530733
3,592,3.017255343183675
3,595,3.0758455116376906
3,736,2.7206052607081213
3,1197,3.73812256183175
3,1721,3.160598660195062
3,2716,3.5450399084246325
3,5349,3.0106529848701777
3,8636,3.053046159280117
3,44191,3.9430459106656577
3,84236,3.625
4,185,3.3670302825205707
4,356,4.7704800962132765
4,357,4.078116229019711
4,364,4.429332836841382
4,410,3.6762858907058327
4,435,2.7217966678933507
4,440,4.105518471153071
4,442,3.123953344519135
4,588,4.467855945255247
4,589,4.70949814852713
4,594,4.228729338759306
4,596,4.318018442734909
4,610,3.450530169131844
4,616,4.004433967892581
4,919,4.7181900457286
4,1022,4.174816141481839
4,1028,4.269689536118527
4,1032,4.329930156492751
4,1033,3.7618545986628216
4,1282,4.355805597428649
4,1334,3.6022792666277486
4,1372,3.194736627340332
4,1580,4.296764854146426
4,1858,3.0231365377688277
4,1967,4.48071059633896
4,2033,3.601607604877805
4,2078,4.5206764106520625
4,2081,4.150101475344741
4,2085,4.0278172265605185
4,2087,3.8965882052047007
4,2094,3.448926973329037
4,2096,4.310488267369431
4,2102,4.691236069088802
4,2124,4.008150896091532
4,2141,4.266744827057526
4,2454,4.036544875510682
4,3034,4.769732265708209
4,3108,4.475194188454329
4,3255,4.3009933580794
4,3263,4.025750308989883
4,4006,4.648793248070927
5,3,2.9995374102525147
5,39,3.74968029173929
5,104,3.5930097834599084
5,788,3.2684996712107335
5,1247,3.8302179082314183
5,1485,3.520878733214568
5,1544,2.9872306129680113
5,1777,3.5612614696472096
5,1997,3.627746268784527
5,2770,3.1688513760940134
5,4018,3.37709495875343
5,4025,3.3857707500026066
5,4447,3.513131710738177
5,4718,3.069435802719112
5,5266,3.275502765724325
5,5995,3.8724289714227207
5,6373,3.5946725544821523
5,8376,2.9549307762205936
5,30749,3.389916114573898
5,33679,3.122265723633578
6,173,2.0506972216899513
